product category; product name; product description; price; product option; option value;nothing useful; product option; option value 
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;sky blue;;size;x-large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;hunter green;;size;small
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;hunter green;;size;medium
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;hunter green;;size;large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;hunter green;;size;x-large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;red;;size;small
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;red;;size;medium
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;red;;size;large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;red;;size;x-large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;black;;size;small
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;black;;size;medium
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;black;;size;large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;black;;size;x-large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;royal blue;;size;small
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;royal blue;;size;medium
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;royal blue;;size;large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;royal blue;;size;x-large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;yellow;;size;small
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;yellow;;size;medium
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;yellow;;size;large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;yellow;;size;x-large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;gray;;size;small
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;gray;;size;medium
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;gray;;size;large
shirt;Casual Raglan Mens 3/4 Sleeve TShirt Baseball Cotton Jersey;;34;color;gray;;size;x-large
shirt;Champion Men's Jersey T-Shirt;;31;color;royal blue;;size;small
shirt;Champion Men's Jersey T-Shirt;;31;color;royal blue;;size;medium
shirt;Champion Men's Jersey T-Shirt;;31;color;royal blue;;size;large
shirt;Champion Men's Jersey T-Shirt;;31;color;royal blue;;size;x-large
shirt;Champion Men's Jersey T-Shirt;;31;color;maroon;;size;small
shirt;Champion Men's Jersey T-Shirt;;31;color;maroon;;size;medium
shirt;Champion Men's Jersey T-Shirt;;31;color;maroon;;size;large
shirt;Champion Men's Jersey T-Shirt;;31;color;maroon;;size;x-large
shirt;Champion Men's Jersey T-Shirt;;31;color;gray;;size;small
shirt;Champion Men's Jersey T-Shirt;;31;color;gray;;size;medium
shirt;Champion Men's Jersey T-Shirt;;31;color;gray;;size;large
shirt;Champion Men's Jersey T-Shirt;;31;color;gray;;size;x-large
shirt;Champion Men's Long-Sleeve T-Shirt;;15;color;orange;;size;small
shirt;Champion Men's Long-Sleeve T-Shirt;;15;color;orange;;size;medium
shirt;Champion Men's Long-Sleeve T-Shirt;;15;color;orange;;size;large
shirt;Champion Men's Long-Sleeve T-Shirt;;15;color;orange;;size;x-large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;red;;size;small
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;red;;size;medium
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;red;;size;large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;red;;size;x-large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;hunter green;;size;small
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;hunter green;;size;medium
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;hunter green;;size;large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;hunter green;;size;x-large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;gray;;size;small
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;gray;;size;medium
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;gray;;size;large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;gray;;size;x-large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;pink;;size;small
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;pink;;size;medium
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;pink;;size;large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;pink;;size;x-large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;maroon;;size;small
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;maroon;;size;medium
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;maroon;;size;large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;maroon;;size;x-large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;royal blue;;size;small
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;royal blue;;size;medium
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;royal blue;;size;large
shirt;Dickies Men's Big-Tall Heavyweight Crew-Neck Short-Sleeve Pocket T-Shirt;;6;color;royal blue;;size;x-large
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;red;;size;small
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;red;;size;medium
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;red;;size;large
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;red;;size;x-large
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;purple;;size;small
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;purple;;size;medium
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;purple;;size;large
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;purple;;size;x-large
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;hunter green;;size;small
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;hunter green;;size;medium
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;hunter green;;size;large
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;hunter green;;size;x-large
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;black;;size;small
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;black;;size;medium
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;black;;size;large
shirt;Dickies Men's Short-Sleeve Pocket T-Shirt;;26;color;black;;size;x-large
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;black;;size;small
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;black;;size;medium
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;black;;size;large
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;black;;size;x-large
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;sky blue;;size;small
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;sky blue;;size;medium
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;sky blue;;size;large
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;sky blue;;size;x-large
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;royal blue;;size;small
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;royal blue;;size;medium
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;royal blue;;size;large
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;royal blue;;size;x-large
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;pink;;size;small
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;pink;;size;medium
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;pink;;size;large
shirt;Disney Men's the Lion King Hakuna Matata Group T-Shirt;;6;color;pink;;size;x-large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;yellow;;size;small
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;yellow;;size;medium
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;yellow;;size;large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;yellow;;size;x-large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;gray;;size;small
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;gray;;size;medium
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;gray;;size;large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;gray;;size;x-large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;pink;;size;small
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;pink;;size;medium
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;pink;;size;large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;pink;;size;x-large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;sky blue;;size;small
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;sky blue;;size;medium
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;sky blue;;size;large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;sky blue;;size;x-large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;maroon;;size;small
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;maroon;;size;medium
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;maroon;;size;large
shirt;Disney Men's the Lion King Retro Sunset T-Shirt;;26;color;maroon;;size;x-large
shirt;Disney Men's the Lion King Scar T-Shirt;;10;color;red;;size;small
shirt;Disney Men's the Lion King Scar T-Shirt;;10;color;red;;size;medium
shirt;Disney Men's the Lion King Scar T-Shirt;;10;color;red;;size;large
shirt;Disney Men's the Lion King Scar T-Shirt;;10;color;red;;size;x-large
shirt;Disney Men's the Lion King Scar T-Shirt;;10;color;hunter green;;size;small
shirt;Disney Men's the Lion King Scar T-Shirt;;10;color;hunter green;;size;medium
shirt;Disney Men's the Lion King Scar T-Shirt;;10;color;hunter green;;size;large
shirt;Disney Men's the Lion King Scar T-Shirt;;10;color;hunter green;;size;x-large
shirt;Dream USA Men's Casual 3/4 Sleeve Baseball Tshirt Raglan Jersey Shirt;;36;color;yellow;;size;small
shirt;Dream USA Men's Casual 3/4 Sleeve Baseball Tshirt Raglan Jersey Shirt;;36;color;yellow;;size;medium
shirt;Dream USA Men's Casual 3/4 Sleeve Baseball Tshirt Raglan Jersey Shirt;;36;color;yellow;;size;large
shirt;Dream USA Men's Casual 3/4 Sleeve Baseball Tshirt Raglan Jersey Shirt;;36;color;yellow;;size;x-large
shirt;Dream USA Men's Casual 3/4 Sleeve Baseball Tshirt Raglan Jersey Shirt;;36;color;sky blue;;size;small
shirt;Dream USA Men's Casual 3/4 Sleeve Baseball Tshirt Raglan Jersey Shirt;;36;color;sky blue;;size;medium
shirt;Dream USA Men's Casual 3/4 Sleeve Baseball Tshirt Raglan Jersey Shirt;;36;color;sky blue;;size;large
shirt;Dream USA Men's Casual 3/4 Sleeve Baseball Tshirt Raglan Jersey Shirt;;36;color;sky blue;;size;x-large
cap;Flexfit Garment-Washed Cap;;15;color;royal blue;;size;small
cap;Flexfit Garment-Washed Cap;;15;color;royal blue;;size;medium
cap;Flexfit Garment-Washed Cap;;15;color;royal blue;;size;large
cap;Flexfit Garment-Washed Cap;;15;color;royal blue;;size;x-large
cap;Flexfit Structured Twill Cap;;13;color;sky blue;;size;small
cap;Flexfit Structured Twill Cap;;13;color;sky blue;;size;medium
cap;Flexfit Structured Twill Cap;;13;color;sky blue;;size;large
cap;Flexfit Structured Twill Cap;;13;color;sky blue;;size;x-large
cap;Flexfit Structured Twill Cap;;13;color;royal blue;;size;small
cap;Flexfit Structured Twill Cap;;13;color;royal blue;;size;medium
cap;Flexfit Structured Twill Cap;;13;color;royal blue;;size;large
cap;Flexfit Structured Twill Cap;;13;color;royal blue;;size;x-large
cap;Flexfit Structured Twill Cap;;13;color;purple;;size;small
cap;Flexfit Structured Twill Cap;;13;color;purple;;size;medium
cap;Flexfit Structured Twill Cap;;13;color;purple;;size;large
cap;Flexfit Structured Twill Cap;;13;color;purple;;size;x-large
cap;Flexfit Structured Twill Cap;;13;color;black;;size;small
cap;Flexfit Structured Twill Cap;;13;color;black;;size;medium
cap;Flexfit Structured Twill Cap;;13;color;black;;size;large
cap;Flexfit Structured Twill Cap;;13;color;black;;size;x-large
cap;Flexfit Structured Twill Cap;;13;color;maroon;;size;small
cap;Flexfit Structured Twill Cap;;13;color;maroon;;size;medium
cap;Flexfit Structured Twill Cap;;13;color;maroon;;size;large
cap;Flexfit Structured Twill Cap;;13;color;maroon;;size;x-large
cap;Flexfit Structured Twill Cap;;13;color;gray;;size;small
cap;Flexfit Structured Twill Cap;;13;color;gray;;size;medium
cap;Flexfit Structured Twill Cap;;13;color;gray;;size;large
cap;Flexfit Structured Twill Cap;;13;color;gray;;size;x-large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;pink;;size;small
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;pink;;size;medium
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;pink;;size;large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;pink;;size;x-large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;maroon;;size;small
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;maroon;;size;medium
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;maroon;;size;large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;maroon;;size;x-large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;sky blue;;size;small
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;sky blue;;size;medium
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;sky blue;;size;large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;sky blue;;size;x-large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;royal blue;;size;small
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;royal blue;;size;medium
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;royal blue;;size;large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;royal blue;;size;x-large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;yellow;;size;small
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;yellow;;size;medium
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;yellow;;size;large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;yellow;;size;x-large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;purple;;size;small
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;purple;;size;medium
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;purple;;size;large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;purple;;size;x-large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;red;;size;small
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;red;;size;medium
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;red;;size;large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;red;;size;x-large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;gray;;size;small
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;gray;;size;medium
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;gray;;size;large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;gray;;size;x-large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;orange;;size;small
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;orange;;size;medium
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;orange;;size;large
shirt;Fred Perry Men's Laurel Wreath Ringer T-Shirt;;30;color;orange;;size;x-large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;gray;;size;small
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;gray;;size;medium
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;gray;;size;large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;gray;;size;x-large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;hunter green;;size;small
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;hunter green;;size;medium
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;hunter green;;size;large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;hunter green;;size;x-large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;pink;;size;small
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;pink;;size;medium
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;pink;;size;large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;pink;;size;x-large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;purple;;size;small
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;purple;;size;medium
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;purple;;size;large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;purple;;size;x-large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;red;;size;small
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;red;;size;medium
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;red;;size;large
shirt;Fruit Of The Loom Heavy Cotton Hd Adult Tee;;26;color;red;;size;x-large
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;orange;;size;small
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;orange;;size;medium
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;orange;;size;large
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;orange;;size;x-large
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;black;;size;small
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;black;;size;medium
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;black;;size;large
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;black;;size;x-large
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;hunter green;;size;small
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;hunter green;;size;medium
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;hunter green;;size;large
shirt;Fruit of the Loom Long Sleeve Shirt;100% Cotton;10;color;hunter green;;size;x-large
shirt;Fruit of the Loom Men's 6;;27;color;purple;;size;small
shirt;Fruit of the Loom Men's 6;;27;color;purple;;size;medium
shirt;Fruit of the Loom Men's 6;;27;color;purple;;size;large
shirt;Fruit of the Loom Men's 6;;27;color;purple;;size;x-large
shirt;Fruit of the Loom Men's 6;;27;color;hunter green;;size;small
shirt;Fruit of the Loom Men's 6;;27;color;hunter green;;size;medium
shirt;Fruit of the Loom Men's 6;;27;color;hunter green;;size;large
shirt;Fruit of the Loom Men's 6;;27;color;hunter green;;size;x-large
shirt;Fruit of the Loom Men's 6;;27;color;pink;;size;small
shirt;Fruit of the Loom Men's 6;;27;color;pink;;size;medium
shirt;Fruit of the Loom Men's 6;;27;color;pink;;size;large
shirt;Fruit of the Loom Men's 6;;27;color;pink;;size;x-large
shirt;Fruit of the Loom Men's 6;;27;color;black;;size;small
shirt;Fruit of the Loom Men's 6;;27;color;black;;size;medium
shirt;Fruit of the Loom Men's 6;;27;color;black;;size;large
shirt;Fruit of the Loom Men's 6;;27;color;black;;size;x-large
shirt;Fruit of the Loom Men's 6;;27;color;orange;;size;small
shirt;Fruit of the Loom Men's 6;;27;color;orange;;size;medium
shirt;Fruit of the Loom Men's 6;;27;color;orange;;size;large
shirt;Fruit of the Loom Men's 6;;27;color;orange;;size;x-large
shirt;Fruit of the Loom Men's 6;;27;color;sky blue;;size;small
shirt;Fruit of the Loom Men's 6;;27;color;sky blue;;size;medium
shirt;Fruit of the Loom Men's 6;;27;color;sky blue;;size;large
shirt;Fruit of the Loom Men's 6;;27;color;sky blue;;size;x-large
shirt;Fruit of the Loom Men's 6;;27;color;royal blue;;size;small
shirt;Fruit of the Loom Men's 6;;27;color;royal blue;;size;medium
shirt;Fruit of the Loom Men's 6;;27;color;royal blue;;size;large
shirt;Fruit of the Loom Men's 6;;27;color;royal blue;;size;x-large
shirt;Fruit of the Loom Men's 6;;27;color;gray;;size;small
shirt;Fruit of the Loom Men's 6;;27;color;gray;;size;medium
shirt;Fruit of the Loom Men's 6;;27;color;gray;;size;large
shirt;Fruit of the Loom Men's 6;;27;color;gray;;size;x-large
shirt;Fruit of the Loom Men's 6;;27;color;maroon;;size;small
shirt;Fruit of the Loom Men's 6;;27;color;maroon;;size;medium
shirt;Fruit of the Loom Men's 6;;27;color;maroon;;size;large
shirt;Fruit of the Loom Men's 6;;27;color;maroon;;size;x-large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;royal blue;;size;small
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;royal blue;;size;medium
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;royal blue;;size;large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;royal blue;;size;x-large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;purple;;size;small
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;purple;;size;medium
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;purple;;size;large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;purple;;size;x-large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;yellow;;size;small
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;yellow;;size;medium
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;yellow;;size;large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;yellow;;size;x-large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;pink;;size;small
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;pink;;size;medium
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;pink;;size;large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;pink;;size;x-large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;orange;;size;small
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;orange;;size;medium
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;orange;;size;large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;orange;;size;x-large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;sky blue;;size;small
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;sky blue;;size;medium
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;sky blue;;size;large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;sky blue;;size;x-large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;hunter green;;size;small
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;hunter green;;size;medium
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;hunter green;;size;large
shirt;Fruit of the Loom Men's Cotton Crewneck T-Shirt;;6;color;hunter green;;size;x-large
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;pink;;size;small
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;pink;;size;medium
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;pink;;size;large
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;pink;;size;x-large
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;royal blue;;size;small
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;royal blue;;size;medium
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;royal blue;;size;large
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;royal blue;;size;x-large
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;orange;;size;small
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;orange;;size;medium
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;orange;;size;large
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;orange;;size;x-large
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;red;;size;small
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;red;;size;medium
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;red;;size;large
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;red;;size;x-large
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;maroon;;size;small
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;maroon;;size;medium
shirt;Fruit of the Loom Men's Pocket T-Shirt;;19;color;maroon;;size;large
